Year,State,County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,90% Confidence Interval (All Ages in Poverty Count),All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,90% Confidence Interval (All Ages in Poverty Percent),Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Count LB 90%,Under Age 18 in Poverty Count UB 90%,90% Confidence Interval (Under Age 18 in Poverty Count),Under Age 18 in Poverty Percent,Under Age 18 in Poverty Percent LB 90%,Under Age 18 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 18 in Poverty Percent),Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Count LB 90%,Ages 5 to 17 in Families in Poverty Count UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count),Ages 5 to 17 in Families in Poverty Percent,Ages 5 to 17 in Families in Poverty Percent LB 90%,Ages 5 to 17 in Families in Poverty Percent UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent),Under Age 5 SAIPE Poverty Universe,Under Age 5 in Poverty Count,Under Age 5 in Poverty Count LB 90%,Under Age 5 in Poverty Count UB 90%,90% Confidence Interval (Under Age 5 in Poverty Count),Under Age 5 in Poverty Percent,Under Age 5 in Poverty Percent LB 90%,Under Age 5 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 5 in Poverty Percent),Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval (Median Household Income in Dollars)
2006,39,39083,Knox County (OH),"54,867","6,623","5,390","7,856","5,390 to 7,856",12.1,9.8,14.3,9.8 to 14.3,"13,112","2,343","1,871","2,816","1,871 to 2,816",17.9,14.3,21.5,14.3 to 21.5,"9,543","1,550","1,216","1,884","1,216 to 1,884",16.2,12.7,19.7,12.7 to 19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,752 ","$40,250 ","$45,255 ","$40,250 to $45,255"
2005,39,39083,Knox County (OH),"54,618","6,319","5,259","7,380","5,259 to 7,380",11.6,9.6,13.5,9.6 to 13.5,"13,062","2,194","1,745","2,643","1,745 to 2,643",16.8,13.4,20.2,13.4 to 20.2,"9,510","1,403","1,083","1,723","1,083 to 1,723",14.8,11.4,18.1,11.4 to 18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,707 ","$41,213 ","$46,200 ","$41,213 to $46,200"
2004,39,39083,Knox County (OH),"55,226","5,845","4,481","7,210","4,481 to 7,210",10.6,8.1,13.1,8.1 to 13.1,"13,276","2,023","1,492","2,555","1,492 to 2,555",15.2,11.2,19.2,11.2 to 19.2,"9,575","1,285",895,"1,675","895 to 1,675",13.4,9.3,17.5,9.3 to 17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,157 ","$39,590 ","$44,890 ","$39,590 to $44,890"
2003,39,39083,Knox County (OH),"54,569","5,439","4,191","6,687","4,191 to 6,687",10,7.7,12.3,7.7 to 12.3,"13,385","1,958","1,459","2,458","1,459 to 2,458",14.6,10.9,18.4,10.9 to 18.4,"9,660","1,221",867,"1,575","867 to 1,575",12.6,9,16.3,9.0 to 16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,829 ","$38,348 ","$43,470 ","$38,348 to $43,470"
2002,39,39083,Knox County (OH),"53,841","5,278","4,083","6,473","4,083 to 6,473",9.8,7.6,12,7.6 to 12.0,"13,325","1,644","1,229","2,058","1,229 to 2,058",12.3,9.2,15.4,9.2 to 15.4,"9,718","1,089",770,"1,408","770 to 1,408",11.2,7.9,14.5,7.9 to 14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,327 ","$36,729 ","$42,109 ","$36,729 to $42,109"
2019,39,39085,Lake County (OH),"227,188","18,914","16,031","21,797","16,031 to 21,797",8.3,7,9.6,7.0 to 9.6,"44,796","5,013","3,760","6,266","3,760 to 6,266",11.2,8.4,14,8.4 to 14.0,"33,590","3,355","2,433","4,277","2,433 to 4,277",10,7.3,12.7,7.3 to 12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$65,040 ","$61,297 ","$68,783 ","$61,297 to $68,783"
2018,39,39085,Lake County (OH),"227,507","16,970","14,245","19,695","14,245 to 19,695",7.5,6.3,8.7,6.3 to 8.7,"45,546","4,811","3,603","6,019","3,603 to 6,019",10.6,7.9,13.3,7.9 to 13.3,"34,287","3,306","2,382","4,230","2,382 to 4,230",9.6,6.9,12.3,6.9 to 12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$65,883 ","$63,731 ","$68,035 ","$63,731 to $68,035"
2017,39,39085,Lake County (OH),"227,128","19,693","16,820","22,566","16,820 to 22,566",8.7,7.4,10,7.4 to 10.0,"46,102","5,697","4,612","6,782","4,612 to 6,782",12.4,10,14.8,10.0 to 14.8,"34,534","3,973","3,146","4,800","3,146 to 4,800",11.5,9.1,13.9,9.1 to 13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$60,521 ","$57,259 ","$63,783 ","$57,259 to $63,783"
2016,39,39085,Lake County (OH),"225,570","19,364","16,780","21,948","16,780 to 21,948",8.6,7.5,9.7,7.5 to 9.7,"45,894","5,734","4,730","6,738","4,730 to 6,738",12.5,10.3,14.7,10.3 to 14.7,"34,636","4,014","3,260","4,768","3,260 to 4,768",11.6,9.4,13.8,9.4 to 13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,946 ","$60,017 ","$63,875 ","$60,017 to $63,875"
2015,39,39085,Lake County (OH),"226,320","18,884","15,703","22,065","15,703 to 22,065",8.3,6.9,9.7,6.9 to 9.7,"46,978","5,918","4,799","7,037","4,799 to 7,037",12.6,10.2,15,10.2 to 15.0,"35,413","4,005","3,154","4,856","3,154 to 4,856",11.3,8.9,13.7,8.9 to 13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$60,782 ","$59,015 ","$62,549 ","$59,015 to $62,549"
2014,39,39085,Lake County (OH),"226,331","20,156","17,175","23,137","17,175 to 23,137",8.9,7.6,10.2,7.6 to 10.2,"47,427","6,338","5,089","7,587","5,089 to 7,587",13.4,10.8,16,10.8 to 16.0,"35,959","4,359","3,481","5,237","3,481 to 5,237",12.1,9.7,14.5,9.7 to 14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$58,697 ","$56,068 ","$61,326 ","$56,068 to $61,326"
2013,39,39085,Lake County (OH),"226,866","21,402","17,976","24,828","17,976 to 24,828",9.4,7.9,10.9,7.9 to 10.9,"48,325","6,313","5,080","7,546","5,080 to 7,546",13.1,10.5,15.7,10.5 to 15.7,"36,548","4,454","3,548","5,360","3,548 to 5,360",12.2,9.7,14.7,9.7 to 14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$55,477 ","$52,416 ","$58,538 ","$52,416 to $58,538"
2012,39,39085,Lake County (OH),"226,561","22,037","19,408","24,666","19,408 to 24,666",9.7,8.5,10.9,8.5 to 10.9,"48,561","6,747","5,548","7,946","5,548 to 7,946",13.9,11.4,16.4,11.4 to 16.4,"36,686","4,674","3,814","5,534","3,814 to 5,534",12.7,10.4,15,10.4 to 15.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$55,149 ","$52,811 ","$57,487 ","$52,811 to $57,487"
2011,39,39085,Lake County (OH),"227,003","23,042","20,306","25,778","20,306 to 25,778",10.2,9,11.4,9.0 to 11.4,"49,545","7,143","5,993","8,293","5,993 to 8,293",14.4,12.1,16.7,12.1 to 16.7,"37,269","4,849","3,980","5,718","3,980 to 5,718",13,10.7,15.3,10.7 to 15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,016 ","$50,726 ","$55,306 ","$50,726 to $55,306"
2010,39,39085,Lake County (OH),"227,213","21,826","18,708","24,944","18,708 to 24,944",9.6,8.2,11,8.2 to 11.0,"50,350","7,235","5,947","8,523","5,947 to 8,523",14.4,11.8,17,11.8 to 17.0,"37,747","4,808","3,975","5,641","3,975 to 5,641",12.7,10.5,14.9,10.5 to 14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,854 ","$50,436 ","$55,272 ","$50,436 to $55,272"
2009,39,39085,Lake County (OH),"234,067","19,274","16,029","22,519","16,029 to 22,519",8.2,6.8,9.6,6.8 to 9.6,"51,699","6,229","5,014","7,444","5,014 to 7,444",12,9.7,14.4,9.7 to 14.4,"38,482","4,152","3,315","4,989","3,315 to 4,989",10.8,8.6,13,8.6 to 13.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,880 ","$51,999 ","$55,761 ","$51,999 to $55,761"
2008,39,39085,Lake County (OH),"231,378","19,629","16,793","22,465","16,793 to 22,465",8.5,7.3,9.7,7.3 to 9.7,"51,129","6,272","5,138","7,407","5,138 to 7,407",12.3,10,14.5,10.0 to 14.5,"38,158","3,924","3,135","4,713","3,135 to 4,713",10.3,8.2,12.4,8.2 to 12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$58,228 ","$55,662 ","$60,795 ","$55,662 to $60,795"
2007,39,39085,Lake County (OH),"230,517","15,681","13,608","17,755","13,608 to 17,755",6.8,5.9,7.7,5.9 to 7.7,"51,462","5,486","4,537","6,436","4,537 to 6,436",10.7,8.8,12.5,8.8 to 12.5,"38,528","3,192","2,532","3,852","2,532 to 3,852",8.3,6.6,10,6.6 to 10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$55,591 ","$54,023 ","$57,159 ","$54,023 to $57,159"
2006,39,39085,Lake County (OH),"229,954","15,926","13,723","18,128","13,723 to 18,128",6.9,6,7.9,6.0 to 7.9,"51,558","5,407","4,457","6,356","4,457 to 6,356",10.5,8.6,12.3,8.6 to 12.3,"38,677","3,129","2,476","3,782","2,476 to 3,782",8.1,6.4,9.8,6.4 to 9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,601 ","$49,839 ","$53,363 ","$49,839 to $53,363"
2005,39,39085,Lake County (OH),"229,022","17,758","15,163","20,352","15,163 to 20,352",7.8,6.6,8.9,6.6 to 8.9,"51,561","5,877","4,836","6,918","4,836 to 6,918",11.4,9.4,13.4,9.4 to 13.4,"38,676","3,506","2,864","4,148","2,864 to 4,148",9.1,7.4,10.7,7.4 to 10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,227 ","$47,618 ","$50,836 ","$47,618 to $50,836"
2004,39,39085,Lake County (OH),"231,743","15,354","11,894","18,814","11,894 to 18,814",6.6,5.1,8.1,5.1 to 8.1,"52,388","4,932","3,666","6,198","3,666 to 6,198",9.4,7,11.8,7.0 to 11.8,"38,936","2,990","2,106","3,874","2,106 to 3,874",7.7,5.4,10,5.4 to 10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,227 ","$47,226 ","$53,418 ","$47,226 to $53,418"
2003,39,39085,Lake County (OH),"231,002","14,610","11,350","17,869","11,350 to 17,869",6.3,4.9,7.7,4.9 to 7.7,"52,776","4,673","3,507","5,838","3,507 to 5,838",8.9,6.6,11.1,6.6 to 11.1,"39,447","2,787","1,999","3,575","1,999 to 3,575",7.1,5.1,9.1,5.1 to 9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,452 ","$45,557 ","$51,532 ","$45,557 to $51,532"
2002,39,39085,Lake County (OH),"227,942","14,645","11,369","17,920","11,369 to 17,920",6.4,5,7.9,5.0 to 7.9,"52,973","4,258","3,194","5,323","3,194 to 5,323",8,6,10,6.0 to 10.0,"39,592","2,659","1,890","3,428","1,890 to 3,428",6.7,4.8,8.7,4.8 to 8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,964 ","$44,842 ","$51,303 ","$44,842 to $51,303"
2019,39,39087,Lawrence County (OH),"58,641","9,482","7,667","11,297","7,667 to 11,297",16.2,13.1,19.3,13.1 to 19.3,"12,547","2,831","2,053","3,609","2,053 to 3,609",22.6,16.4,28.8,16.4 to 28.8,"9,311","1,989","1,386","2,592","1,386 to 2,592",21.4,14.9,27.9,14.9 to 27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,433 ","$41,950 ","$50,916 ","$41,950 to $50,916"
2018,39,39087,Lawrence County (OH),"59,031","11,093","9,141","13,045","9,141 to 13,045",18.8,15.5,22.1,15.5 to 22.1,"12,699","3,212","2,430","3,994","2,430 to 3,994",25.3,19.1,31.5,19.1 to 31.5,"9,425","2,195","1,579","2,811","1,579 to 2,811",23.3,16.8,29.8,16.8 to 29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,031 ","$39,581 ","$46,481 ","$39,581 to $46,481"
2017,39,39087,Lawrence County (OH),"59,416","11,563","9,783","13,343","9,783 to 13,343",19.5,16.5,22.5,16.5 to 22.5,"12,899","3,473","2,780","4,166","2,780 to 4,166",26.9,21.5,32.3,21.5 to 32.3,"9,481","2,437","1,917","2,957","1,917 to 2,957",25.7,20.2,31.2,20.2 to 31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,108 ","$39,829 ","$46,387 ","$39,829 to $46,387"
2016,39,39087,Lawrence County (OH),"60,017","10,771","8,836","12,706","8,836 to 12,706",17.9,14.7,21.1,14.7 to 21.1,"13,110","3,474","2,724","4,224","2,724 to 4,224",26.5,20.8,32.2,20.8 to 32.2,"9,574","2,484","1,930","3,038","1,930 to 3,038",25.9,20.1,31.7,20.1 to 31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,132 ","$38,470 ","$45,794 ","$38,470 to $45,794"
2015,39,39087,Lawrence County (OH),"60,295","12,680","10,765","14,595","10,765 to 14,595",21,17.8,24.2,17.8 to 24.2,"13,262","3,994","3,299","4,689","3,299 to 4,689",30.1,24.9,35.3,24.9 to 35.3,"9,864","2,897","2,381","3,413","2,381 to 3,413",29.4,24.2,34.6,24.2 to 34.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,698 ","$35,905 ","$43,491 ","$35,905 to $43,491"
2014,39,39087,Lawrence County (OH),"60,801","10,643","8,588","12,698","8,588 to 12,698",17.5,14.1,20.9,14.1 to 20.9,"13,530","3,712","2,895","4,529","2,895 to 4,529",27.4,21.4,33.4,21.4 to 33.4,"10,099","2,581","2,005","3,157","2,005 to 3,157",25.6,19.9,31.3,19.9 to 31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,608 ","$38,628 ","$44,588 ","$38,628 to $44,588"
2013,39,39087,Lawrence County (OH),"61,076","12,594","10,592","14,596","10,592 to 14,596",20.6,17.3,23.9,17.3 to 23.9,"13,726","3,907","3,131","4,683","3,131 to 4,683",28.5,22.8,34.2,22.8 to 34.2,"10,259","2,758","2,147","3,369","2,147 to 3,369",26.9,20.9,32.9,20.9 to 32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,137 ","$37,724 ","$44,550 ","$37,724 to $44,550"
2012,39,39087,Lawrence County (OH),"61,268","11,042","9,127","12,957","9,127 to 12,957",18,14.9,21.1,14.9 to 21.1,"13,929","3,985","3,137","4,833","3,137 to 4,833",28.6,22.5,34.7,22.5 to 34.7,"10,380","2,777","2,178","3,376","2,178 to 3,376",26.8,21,32.6,21.0 to 32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$38,790 ","$35,759 ","$41,821 ","$35,759 to $41,821"
2011,39,39087,Lawrence County (OH),"61,672","11,684","9,278","14,090","9,278 to 14,090",18.9,15,22.8,15.0 to 22.8,"14,145","4,063","3,119","5,007","3,119 to 5,007",28.7,22,35.4,22.0 to 35.4,"10,370","2,821","2,115","3,527","2,115 to 3,527",27.2,20.4,34,20.4 to 34.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$37,666 ","$34,659 ","$40,673 ","$34,659 to $40,673"
2010,39,39087,Lawrence County (OH),"61,560","13,149","11,069","15,229","11,069 to 15,229",21.4,18,24.8,18.0 to 24.8,"14,296","4,558","3,682","5,434","3,682 to 5,434",31.9,25.8,38,25.8 to 38.0,"10,437","3,112","2,515","3,709","2,515 to 3,709",29.8,24.1,35.5,24.1 to 35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$36,551 ","$33,351 ","$39,751 ","$33,351 to $39,751"
2009,39,39087,Lawrence County (OH),"62,038","12,168","10,251","14,084","10,251 to 14,084",19.6,16.5,22.7,16.5 to 22.7,"14,045","4,081","3,317","4,845","3,317 to 4,845",29.1,23.6,34.5,23.6 to 34.5,"10,139","2,732","2,201","3,263","2,201 to 3,263",26.9,21.7,32.2,21.7 to 32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$36,701 ","$34,570 ","$38,833 ","$34,570 to $38,833"
2008,39,39087,Lawrence County (OH),"61,878","11,257","9,399","13,115","9,399 to 13,115",18.2,15.2,21.2,15.2 to 21.2,"14,172","3,841","3,094","4,588","3,094 to 4,588",27.1,21.8,32.4,21.8 to 32.4,"10,263","2,474","1,943","3,005","1,943 to 3,005",24.1,18.9,29.3,18.9 to 29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$36,289 ","$33,485 ","$39,093 ","$33,485 to $39,093"
2007,39,39087,Lawrence County (OH),"61,855","13,566","11,476","15,656","11,476 to 15,656",21.9,18.6,25.3,18.6 to 25.3,"14,181","4,715","3,832","5,599","3,832 to 5,599",33.2,27,39.5,27.0 to 39.5,"10,374","3,002","2,360","3,644","2,360 to 3,644",28.9,22.7,35.1,22.7 to 35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$32,824 ","$30,241 ","$35,406 ","$30,241 to $35,406"
2006,39,39087,Lawrence County (OH),"62,408","14,487","12,380","16,594","12,380 to 16,594",23.2,19.8,26.6,19.8 to 26.6,"14,203","4,777","3,965","5,588","3,965 to 5,588",33.6,27.9,39.3,27.9 to 39.3,"10,435","3,117","2,516","3,718","2,516 to 3,718",29.9,24.1,35.6,24.1 to 35.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$32,922 ","$30,434 ","$35,411 ","$30,434 to $35,411"
2005,39,39087,Lawrence County (OH),"62,299","12,649","10,837","14,462","10,837 to 14,462",20.3,17.4,23.2,17.4 to 23.2,"14,253","4,215","3,458","4,973","3,458 to 4,973",29.6,24.3,34.9,24.3 to 34.9,"10,524","2,810","2,237","3,383","2,237 to 3,383",26.7,21.3,32.2,21.3 to 32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$31,193 ","$28,766 ","$33,621 ","$28,766 to $33,621"
2004,39,39087,Lawrence County (OH),"62,942","10,932","8,446","13,417","8,446 to 13,417",17.4,13.4,21.3,13.4 to 21.3,"14,479","3,771","2,796","4,746","2,796 to 4,746",26,19.3,32.8,19.3 to 32.8,"10,594","2,456","1,723","3,189","1,723 to 3,189",23.2,16.3,30.1,16.3 to 30.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$31,131 ","$29,240 ","$33,145 ","$29,240 to $33,145"
2003,39,39087,Lawrence County (OH),"62,442","10,359","8,043","12,675","8,043 to 12,675",16.6,12.9,20.3,12.9 to 20.3,"14,447","3,687","2,764","4,610","2,764 to 4,610",25.5,19.1,31.9,19.1 to 31.9,"10,650","2,386","1,706","3,066","1,706 to 3,066",22.4,16,28.8,16.0 to 28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$30,158 ","$28,330 ","$32,103 ","$28,330 to $32,103"
2002,39,39087,Lawrence County (OH),"62,324","10,688","8,307","13,070","8,307 to 13,070",17.1,13.3,21,13.3 to 21.0,"14,493","3,389","2,541","4,237","2,541 to 4,237",23.4,17.5,29.2,17.5 to 29.2,"10,693","2,303","1,633","2,973","1,633 to 2,973",21.5,15.3,27.8,15.3 to 27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$28,806 ","$26,908 ","$30,838 ","$26,908 to $30,838"
2019,39,39089,Licking County (OH),"172,496","16,038","13,141","18,935","13,141 to 18,935",9.3,7.6,11,7.6 to 11.0,"39,726","4,922","3,636","6,208","3,636 to 6,208",12.4,9.2,15.6,9.2 to 15.6,"29,244","3,214","2,258","4,170","2,258 to 4,170",11,7.7,14.3,7.7 to 14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$66,321 ","$62,420 ","$70,222 ","$62,420 to $70,222"
2018,39,39089,Licking County (OH),"171,380","15,591","13,036","18,146","13,036 to 18,146",9.1,7.6,10.6,7.6 to 10.6,"39,806","4,988","3,857","6,119","3,857 to 6,119",12.5,9.7,15.3,9.7 to 15.3,"29,358","3,215","2,333","4,097","2,333 to 4,097",11,8,14,8.0 to 14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$66,145 ","$61,562 ","$70,728 ","$61,562 to $70,728"
2017,39,39089,Licking County (OH),"169,158","15,130","12,493","17,767","12,493 to 17,767",8.9,7.3,10.5,7.3 to 10.5,"39,457","4,907","3,786","6,028","3,786 to 6,028",12.4,9.6,15.2,9.6 to 15.2,"29,056","3,287","2,451","4,123","2,451 to 4,123",11.3,8.4,14.2,8.4 to 14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$62,658 ","$58,640 ","$66,676 ","$58,640 to $66,676"
2016,39,39089,Licking County (OH),"167,950","19,680","17,024","22,336","17,024 to 22,336",11.7,10.1,13.3,10.1 to 13.3,"39,512","6,760","5,718","7,802","5,718 to 7,802",17.1,14.5,19.7,14.5 to 19.7,"28,985","4,843","4,122","5,564","4,122 to 5,564",16.7,14.2,19.2,14.2 to 19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$58,902 ","$56,259 ","$61,545 ","$56,259 to $61,545"
2015,39,39089,Licking County (OH),"166,486","20,933","18,687","23,179","18,687 to 23,179",12.6,11.3,13.9,11.3 to 13.9,"39,406","6,870","5,844","7,896","5,844 to 7,896",17.4,14.8,20,14.8 to 20.0,"29,189","4,412","3,598","5,226","3,598 to 5,226",15.1,12.3,17.9,12.3 to 17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$59,119 ","$55,637 ","$62,601 ","$55,637 to $62,601"
2014,39,39089,Licking County (OH),"165,283","22,272","19,454","25,090","19,454 to 25,090",13.5,11.8,15.2,11.8 to 15.2,"39,276","8,106","6,906","9,306","6,906 to 9,306",20.6,17.5,23.7,17.5 to 23.7,"29,110","5,438","4,557","6,319","4,557 to 6,319",18.7,15.7,21.7,15.7 to 21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$57,308 ","$54,344 ","$60,272 ","$54,344 to $60,272"
2013,39,39089,Licking County (OH),"164,190","18,467","15,372","21,562","15,372 to 21,562",11.2,9.3,13.1,9.3 to 13.1,"39,340","6,744","5,522","7,966","5,522 to 7,966",17.1,14,20.2,14.0 to 20.2,"29,176","4,281","3,337","5,225","3,337 to 5,225",14.7,11.5,17.9,11.5 to 17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,909 ","$52,506 ","$57,312 ","$52,506 to $57,312"
2012,39,39089,Licking County (OH),"163,397","22,848","20,568","25,128","20,568 to 25,128",14,12.6,15.4,12.6 to 15.4,"39,441","8,358","7,331","9,385","7,331 to 9,385",21.2,18.6,23.8,18.6 to 23.8,"29,278","5,498","4,760","6,236","4,760 to 6,236",18.8,16.3,21.3,16.3 to 21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,678 ","$50,163 ","$55,193 ","$50,163 to $55,193"
2011,39,39089,Licking County (OH),"163,143","21,273","18,445","24,101","18,445 to 24,101",13,11.3,14.7,11.3 to 14.7,"39,943","7,773","6,522","9,024","6,522 to 9,024",19.5,16.4,22.6,16.4 to 22.6,"29,557","5,124","4,185","6,063","4,185 to 6,063",17.3,14.1,20.5,14.1 to 20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,298 ","$51,554 ","$57,042 ","$51,554 to $57,042"
2010,39,39089,Licking County (OH),"162,589","20,190","17,360","23,020","17,360 to 23,020",12.4,10.7,14.1,10.7 to 14.1,"40,287","6,712","5,386","8,038","5,386 to 8,038",16.7,13.4,20,13.4 to 20.0,"29,746","4,239","3,334","5,144","3,334 to 5,144",14.3,11.3,17.3,11.3 to 17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,247 ","$48,845 ","$53,649 ","$48,845 to $53,649"
2009,39,39089,Licking County (OH),"154,750","18,030","15,451","20,610","15,451 to 20,610",11.7,10,13.3,10.0 to 13.3,"38,163","6,271","5,180","7,362","5,180 to 7,362",16.4,13.6,19.3,13.6 to 19.3,"27,604","4,122","3,369","4,875","3,369 to 4,875",14.9,12.2,17.7,12.2 to 17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,060 ","$49,211 ","$52,909 ","$49,211 to $52,909"
2008,39,39089,Licking County (OH),"153,819","15,727","13,345","18,109","13,345 to 18,109",10.2,8.7,11.8,8.7 to 11.8,"37,796","5,397","4,420","6,375","4,420 to 6,375",14.3,11.7,16.9,11.7 to 16.9,"27,287","3,301","2,625","3,977","2,625 to 3,977",12.1,9.6,14.6,9.6 to 14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,148 ","$49,191 ","$55,105 ","$49,191 to $55,105"
2007,39,39089,Licking County (OH),"152,934","16,815","14,355","19,276","14,355 to 19,276",11,9.4,12.6,9.4 to 12.6,"37,755","5,808","4,761","6,856","4,761 to 6,856",15.4,12.6,18.2,12.6 to 18.2,"27,236","3,623","2,909","4,337","2,909 to 4,337",13.3,10.7,15.9,10.7 to 15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,357 ","$50,855 ","$55,858 ","$50,855 to $55,858"
2006,39,39089,Licking County (OH),"152,300","14,821","12,582","17,060","12,582 to 17,060",9.7,8.3,11.2,8.3 to 11.2,"37,139","5,621","4,637","6,605","4,637 to 6,605",15.1,12.5,17.8,12.5 to 17.8,"26,874","3,396","2,716","4,076","2,716 to 4,076",12.6,10.1,15.2,10.1 to 15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,426 ","$48,096 ","$52,756 ","$48,096 to $52,756"
2005,39,39089,Licking County (OH),"150,808","15,454","12,950","17,958","12,950 to 17,958",10.2,8.6,11.9,8.6 to 11.9,"36,979","4,968","3,929","6,007","3,929 to 6,007",13.4,10.6,16.2,10.6 to 16.2,"26,921","3,145","2,427","3,863","2,427 to 3,863",11.7,9,14.3,9.0 to 14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,532 ","$46,411 ","$52,654 ","$46,411 to $52,654"
2004,39,39089,Licking County (OH),"152,264","14,512","11,257","17,768","11,257 to 17,768",9.5,7.4,11.7,7.4 to 11.7,"37,566","4,959","3,691","6,226","3,691 to 6,226",13.2,9.8,16.6,9.8 to 16.6,"27,101","3,058","2,155","3,961","2,155 to 3,961",11.3,8,14.6,8.0 to 14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,950 ","$45,088 ","$50,993 ","$45,088 to $50,993"
2003,39,39089,Licking County (OH),"150,092","12,644","9,836","15,452","9,836 to 15,452",8.4,6.6,10.3,6.6 to 10.3,"37,505","4,475","3,363","5,588","3,363 to 5,588",11.9,9,14.9,9.0 to 14.9,"27,192","2,525","1,811","3,239","1,811 to 3,239",9.3,6.7,11.9,6.7 to 11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,494 ","$43,719 ","$49,445 ","$43,719 to $49,445"
2002,39,39089,Licking County (OH),"148,042","11,800","9,191","14,410","9,191 to 14,410",8,6.2,9.7,6.2 to 9.7,"37,270","3,791","2,852","4,730","2,852 to 4,730",10.2,7.7,12.7,7.7 to 12.7,"27,228","2,319","1,651","2,987","1,651 to 2,987",8.5,6.1,11,6.1 to 11.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,498 ","$42,538 ","$48,664 ","$42,538 to $48,664"
